layer,country,name,lat,lon,date,description,color,id
Airports,GE,Batumi International Airport (BUS/UGSB),41.606789,41.610851,2018-06-15,,#1a237e,p-3666e0a03d0a411894dd5bbf1c9d36a9
Airports,GE,Tbilisi International Airport (TBS/UGTB),41.669608,44.964349,2019-12-13,,#1a237e,p-a65cb60090604029bb4082258062d883
Airports,GR,Athens International Airport (ATH/LGAV),37.935647,23.948416,2016-06-28,,#1a237e,p-d73c4ab3808a4806bf3fc636c7c59bbe
Airports,GR,Heraklion International Airport Nikos Kazantzakis (HER/LGIR),35.33958,25.174748,2016-06-24,,#1a237e,p-64d1a2ff3c7a428c92408806252628bc
Airports,HK,Hong Kong International Airport (HKG/VHHH),22.308047,113.918481,2019-04-09,,#1a237e,p-52105acaf1ac4ae2a07d5685bca51c0d
Airports,HU,Budapest Ferenc Liszt International Airport (BUD/LHBP),47.438459,19.252296,2010-02-23,,#1a237e,p-55261d9e712e460b96b4c5b9fe7ed070
Airports,IE,Dublin Airport (DUB/EIDW),53.425632,-6.257376,2025-11-26,,#1a237e,p-2eb8c3504fa74fcf955533dcfe988c2c
Airports,IL,Ben Gurion Airport (TLV/LLBG),32.005532,34.885411,2014-05-13,,#1a237e,p-320aae52a45645bab709da9142bbd921
Airports,IT,Milan Bergamo Airport (BGY/LIME),45.669571,9.703631,2010-05-05,,#1a237e,p-987c30c5fdb547628d368df1d50ebf37
Airports,IT,Bologna Guglielmo Marconi Airport (BLQ/LIPE),44.534522,11.287859,2019-05-09,,#1a237e,p-0a166862bda84e7db3bf8a17cd12010b
Airports,IT,Rome Fiumicino Leonardo da Vinci Airport (FCO/LIRF),41.803427,12.251893,2019-05-14,,#1a237e,p-a0b3d389f2334f56b4db02b5af73f257
Airports,AT,Vienna International Airport (VIE/LOWW),48.112612,16.575514,2019-05-14,,#1a237e,p-42859783c4dd4e51af83298c898221a1
Airports,KZ,Almaty International Airport (ALA/UAAA),43.349926,77.025289,2018-06-03,,#1a237e,p-252deec925fa441da1a8d063a0f9fb75
Airports,KZ,Nursultan Nazarbayev International Airport (NQZ/UACC),51.028068,71.463303,2018-05-30,,#1a237e,p-750269aaf1124b1f8e01fa9abb5bc9d7
Airports,NL,Amsterdam Airport Schiphol (AMS/EHAM),52.316919,4.745925,2024-06-18,,#1a237e,p-477c3ab40b314089a771ea8e4ea4c852
Airports,NL,Eindhoven Airport (EIN/EHEH),51.45045,5.378428,2024-06-22,,#1a237e,p-d1d07fe0d50b47d8b0f192ca8975536a
Airports,NO,Oslo Airport (OSL/ENGM),60.197854,11.096347,2024-08-04,,#1a237e,p-00887edca7dc485e88696f1b06d6f947
Airports,NO,Sandefjord Airport Torp (TRF/ENTO),59.182446,10.256912,2024-05-10,,#1a237e,p-63be993df09941f19908aaf31fa6ee7f
Airports,OM,Muscat International Airport (MCT/OOMS),23.600641,58.282745,2025-10-01,,#1a237e,p-bafcb40e27f044e894a54cd16d4e1afd
Airports,PL,John Paul II Kraków-Balice International Airport (KRK/EPKK),50.076978,19.788119,2015-08-24,,#1a237e,p-51e40dfa1f3641aa8a58c61e7f49d28f
Airports,PL,Warsaw Chopin Airport (WAW/EPWA),52.164861,20.969182,2023-07-02,,#1a237e,p-6d6c347ec3224eeeba3830867f7b64f1
Airports,PL,Warsaw Modlin Airport (WMI/EPMO),52.446175,20.651334,2023-07-06,,#1a237e,p-93833daf0813487393635275dea44e19
Airports,PL,Copernicus Airport Wrocław (WRO/EPWR),51.104165,16.880933,2023-03-05,,#1a237e,p-7c75eb90ebe24e3fa23cd389f7361426
Airports,QA,Hamad International Airport (DOH/OTHH),25.269851,51.602698,2025-10-01,,#1a237e,p-1e3af98df1cb45fc8febf56e698c5c86
Airports,RO,Henri Coandă International Airport (OTP/LROP),44.570731,26.084412,2021-06-17,,#1a237e,p-5c412590bd7b42789f9cd3abd9614b17
Airports,RU,Mineralnye Vody Airport (MRV/URMM),44.217513,43.087835,1990-10-01,,#1a237e,p-2eed8971b6b74d2a89fe88aca77df1ac
Airports,TR,Antalya Airport (AYT/LTAI),36.904333,30.801877,2006-07-13,,#1a237e,p-eed6896b64a84ce39eb1491e0fff94a7
Airports,TR,Istanbul Airport (IST/LTFM),41.259894,28.74273,2025-10-13,,#1a237e,p-9294c189454441bcbeb03503f96be8cd
Airports,UA,Donetsk Sergei Prokofiev International Airport (DOK/UKCC),48.068257,37.741976,2011-02-28,,#1a237e,p-2f7e725285aa4139aa5266065102ecb7
Airports,UA,Ivano-Frankivsk International Airport (IFO/UKLI),48.887575,24.706883,2016-02-18,,#1a237e,p-7fc9dea58cbf44f9ae60f6c7f949b79d
Airports,UA,Boryspil International Airport (KBP/UKBB),50.338222,30.893927,2007-09-21,,#1a237e,p-3d9d393071ce431d924eb716b221affb
Airports,UA,Kyiv International Airport (Zhuliany) (IEV/UKKK),50.411981,30.443292,2018-06-15,,#1a237e,p-4643a3f3c53c451c97ac9f038c3bb574
Airports,UA,Lviv Danylo Halytskyi International Airport (LWO/UKLL),49.813855,23.959838,1990-10-01,,#1a237e,p-2592e08ee534476ab2a7aa5e3a99e956
Airports,UA,Odesa International Airport (ODS/UKOO),46.429827,30.677441,2015-09-23,,#1a237e,p-827596ba42eb4fc4aa719abb19643276
Airports,GB,London City Airport (LCY/EGLC),51.504844,0.049518,2021-12-09,,#1a237e,p-fb464dac60e3427585029fb78101ef36
Airports,GB,London Gatwick Airport (LGW/EGKK),51.153662,-0.182063,2019-06-24,,#1a237e,p-c8af95aba65743a7a6ec1e1b5ca31710
Airports,GB,London Heathrow Airport (LHR/EGLL),51.470022,-0.454296,2019-06-10,,#1a237e,p-4a0c88f7d95941a6b1cc1618053fbbc5
Airports,GB,London Luton Airport (LTN/EGGW),51.876265,-0.371747,2019-06-23,,#1a237e,p-d8dea04bd77e462ea91c4a3c63252cd3
Airports,GB,London Stansted Airport (STN/EGSS),51.886018,0.238866,2021-12-08,,#1a237e,p-e5bc6d39da1d4b67a2d7a304b5b07223
Airports,US,Bellingham International Airport (BLI/KBLI),48.795579,-122.533064,2007-12-16,,#1a237e,p-8c84366c0be44bb6a5443f0ddae5bc6d
Airports,US,John Glenn Columbus International Airport (CMH/KCMH),39.99994,-82.887177,2007-12-16,,#1a237e,p-aa21837cd2af401c90731affc0cebd98
Airports,US,Hollywood Burbank Airport (BUR/KBUR),34.198312,-118.357404,2008-01-03,,#1a237e,p-887efcd4a25242c5b2eec84edada22ea
Airports,US,Washington Dulles International Airport (IAD/KIAD),38.952248,-77.457889,2025-10-13,,#1a237e,p-f9e9659e472145b49d979b27af22dae5
Airports,US,Los Angeles International Airport (LAX/KLAX),33.941589,-118.40853,2008-01-06,,#1a237e,p-6063f647fcc64b7b80fbe06b535a2e33
Airports,US,Seattle-Tacoma International Airport (SEA/KSEA),47.45025,-122.308816,2007-09-21,,#1a237e,p-f5f2ffffcbc740fc85fef274f1cdce1e
Airports,FR,Nice Côte d'Azur Airport(NCE/LFMN),43.659815,7.213746,2026-07-19,,#1a237e,p-d532b0667147458ba28bb23dfc722b9e
Football_stadiums,AT,"Vienna, Ernst Happel Stadium",48.207208,16.420985,2008-06-26,UEFA Euro 2008 semifinal and final,#0f9d58,p-97afbf54dd11498584056c338ee10cff
Football_stadiums,DE,"Düsseldorf, Merkur Spiel-Arena",51.261788,6.733567,2024-06-21,,#0f9d58,p-a36a5b46885d49d4a07291ec29a3a0f4
Football_stadiums,DE,"Munich, Allianz Arena",48.218797,11.624712,2024-06-17,,#0f9d58,p-7914226c6db54c2f88b3378e234d7241
Football_stadiums,ES,"Barcelona, Camp Nou",41.380896,2.12282,2022-10-26,,#0f9d58,p-2876cdd2402a48f2beb1b04243191307
Football_stadiums,ES,"Valencia, Estadi Ciutat de València",39.494689,-0.363822,2026-03-26,,#0f9d58,p-ed0131814cec4921803322869b790472
Football_stadiums,ES,"Murcia, Estadio Nueva Condomina (Estadio Enrique Roca de Murcia)",38.042222,-1.144722,2025-03-20,,#0f9d58,p-7eed6941e0484264bac23e868ad64921
Football_stadiums,ES,"Valencia, Mestalla Stadium",39.47466,-0.358588,2022-08-29,,#0f9d58,p-408a1fed127248198d3390512ecaade7
Football_stadiums,ES,"Madrid, Metropolitano Stadium",40.436194,-3.599467,2022-08-21,,#0f9d58,p-ab4ba465787847c7bf63995b7b6be1a4
Football_stadiums,ES,"Madrid, Santiago Bernabéu Stadium",40.453039,-3.688334,,Stadium tour,#0f9d58,p-981f9a2a50bc403a897a49357b2a69b5
Football_stadiums,FR,"Paris, Parc des Princes",48.841437,2.25305,2025-05-07,,#0f9d58,p-9161db82422f40838bfb7a5bfcbbd68d
Football_stadiums,HU,"Budapest, Ferenc Puskás Stadium",47.503172,19.097022,2008-09-06,Former stadium demolished in 2016,#0f9d58,p-982e4f4d044e45d58fb7aaefe8e91c42
Football_stadiums,IE,"Dublin, Tallaght Stadium",53.283535,-6.373673,2025-11-27,,#0f9d58,p-3832ad0700284306bdcaf3a2a02ae4fe
Football_stadiums,IT,"Milan, Stadio Giuseppe Meazza (San Siro)",45.478124,9.123962,2010,Stadium tour,#0f9d58,p-d857951f0e65490b8a2ad505e184d97d
Football_stadiums,IT,"Rome, Stadio Olimpico",41.934077,12.454725,2019-05-12,,#0f9d58,p-3f544bd288e54e179558697baff9e82b
Football_stadiums,PL,"Lublin, Arena Lublin",51.232427,22.55745,2024-07-23,,#0f9d58,p-4a34415356b047eba9313fd6a3ac75ea
Football_stadiums,PL,"Poznań, Enea Stadion",52.397706,16.85809,2026-03-12,,#0f9d58,p-7aef969d411e467a87ebc21327c855e9
Football_stadiums,PL,"Warsaw, Marshal Józef Piłsudski Municipal Stadium of Legia Warsaw",52.220429,21.041439,2024-04-21,,#0f9d58,p-774ac16263a94d73b291e00821c8d91d
Football_stadiums,PL,"Warsaw, National Stadium",52.239496,21.045791,2015-05-27,,#0f9d58,p-6c20d427882e43949f1e9ea89cfddc7f
Football_stadiums,PL,"Wrocław, Tarczyński Arena Wrocław",51.140959,16.942278,2024-03-26,,#0f9d58,p-c7de08b7dab340ccbad9dadf72968ed3
Football_stadiums,RO,"Bucharest, Arena Națională",44.437162,26.152589,2021-06-17,,#0f9d58,p-8bbb542a35964ce394977346d0c29630
Football_stadiums,UA,"Донецьк, Донбас Арена",48.02118,37.810168,2012,Stadium tour,#0f9d58,p-ef4cd0e9cd3e428bbb9cfb0995f0523a
Football_stadiums,UA,"Київ, НСК «Олімпійський»",50.433406,30.521856,1999-09-04,,#0f9d58,p-7da49a3c43434035bf130a4cb9726c75
Football_stadiums,UA,"Київ, Стадіон «Динамо» імені Валерія Лобановського",50.450401,30.535101,2011-03-29,,#0f9d58,p-06eef6a8b47f43439d37f8165cfd7b11
Football_stadiums,UA,"Київ, Стадіон «Лівий берег»",50.336923,30.624338,2021-11-20,,#0f9d58,p-9de46c6e084042a0bb1444ce4afea187
Football_stadiums,UA,"Львів, Арена Львів",49.774861,24.02768,2012-06-13,,#0f9d58,p-7e3161710bef4fde9fc2d1cba4edef30
Football_stadiums,UA,"Львів, Стадіон «Україна»",49.819342,24.048132,1998-06-16,,#0f9d58,p-19c52f0998ac45dd8b4e99229a928856
Football_stadiums,UA,"Київ, Оболонь-Арена",50.527098,30.507524,2018-04-22,,#0f9d58,p-098c60972d294f6293f3709e8edf7195
Football_stadiums,UA,"Одеса, Стадіон «Чорноморець»",46.480685,30.755366,2007-03-28,,#0f9d58,p-9d6c0186099343738e7d003f48acd88c
Football_stadiums,GB,"London, Stamford Bridge",51.481663,-0.190956,2023-08-05,Charity match,#0f9d58,p-c056fda04db94f28a21429b2235d2bdf
Football_stadiums,GB,"London, Tottenham Hotspur Stadium",51.60422,-0.066223,2023-08-06,,#0f9d58,p-20fa9849c28c42489ec2f656b065afa8
Football_stadiums,US,"Durham, Wallace Wade Stadium",35.995359,-78.941737,,,#0f9d58,p-b4f99875577547338dd2a86c620c4cd6
Football_stadiums,PL,"Kraków, Henryk Reyman Municipal Stadium",50.063582,19.911745,,,#0f9d58,p-7e5d801d40c0430e864a11e6cadc3fc9
Lodge,AZ,Baku (approx),40.377908,49.856885,,,#1a237e,p-4691631e336e4c2fa7884ccb14db9f45
Lodge,CH,Caslano (approx),45.973402,8.88036,,"Chris, ex Western Washington university faculty",#1a237e,p-da8617193c3743dd919316a56384faa9
Lodge,DE,"Uhldingen-Mühlhofen, Erlenweg 4",47.74138,9.257974,2022,,#4e342e,p-427c5c47b0374d55a6af86f4407ecffb
Lodge,ES,"Sant Feliu de Guíxols, Carrer de Joan Goula, 32",41.781315,3.027756,,,#4e342e,p-3e44f0124dbf46d090c0a610b1483ddc
Lodge,ES,Santa Cristina,41.810116,2.93547,,,#4e342e,p-286f6f4f5bbe4a979c9adbf1f94a07e9
Lodge,ES,Valencia. Diachenko 1,39.473728,-0.380568,,,#1a237e,p-db55e16b529c4a4dba80542db2a99e8e
Lodge,ES,Valencia. Diachenko 2,39.46976,-0.383599,,,#1a237e,p-b5742594557b4e16831b2908c5d055d0
Lodge,HU,"Budapest, Central European University Residence Center",47.505246,19.159558,,,#4e342e,p-de405f0859c84c8bbb91ff69bb744b06
Lodge,MD,Chisinau. Adria Scutaru (approx),46.984658,28.865023,,,#1a237e,p-722f1ebbdafd4bd59496b5d891b42fce
Lodge,PL,Brzeg Zamkowa 3,50.862503,17.468226,,Roman and Diana,#1a237e,p-0651b60c315d4b4497b3e2fb968831ab
Lodge,PL,Nysa,50.46252,17.337298,2023-02-26,,#1a237e,p-740b271d98eb4862b2549910af0df6a8
Lodge,RU,Иноземцево (approx),44.094569,43.094774,,,#1a237e,p-c4e39e4f8c8a4ba9b037b51ef7096aa6
Lodge,RU,Москва (approx),55.846638,37.572132,,,#1a237e,p-f71de94df67c43f294e5c6d4809e11c6
Lodge,UA,"Добротвір, Гагаріна 1",50.209766,24.38167,,,#4e342e,p-043073e17aeb481fb15cf2568bb77d31
Lodge,UA,"Добротвір, Франка 6",50.209085,24.384128,,,#4e342e,p-ae2939fd9d6b4278b9aea3ca67ed8d7a
Lodge,UA,"Київ, Бехтерівський провулок 10",50.457785,30.496226,,,#4e342e,p-2feb8b5d570d4ce99733a3ec2900a0f5
Lodge,UA,"Київ, Героїв Дніпра 40а, кв 58",50.520641,30.508925,,,#4e342e,p-5ea837819ab34ac698f8ee8a6e10e5bc
Lodge,UA,"Київ, Малиновського 27",50.505145,30.505291,,,#4e342e,p-d3e4489ea9824f569f6a4d44e215a8c0
Lodge,UA,"Київ, Оболонська 31, кв 16",50.472466,30.509572,,,#4e342e,p-447df7cc71b141aa801b6fb29d92b1a6
Lodge,UA,"Київ, Тимошенка 29",50.513085,30.502603,,,#4e342e,p-b45f4cb04e7149f197cd19853b5fc67b
Lodge,UA,"Київ, Урлівська 14",50.404935,30.622633,,,#4e342e,p-d9dcd3e9ba38461eae8ad7b4e8cef986
Lodge,UA,"Львів, Бандери 57, кв 5",49.834583,24.009062,,,#4e342e,p-b5492663e8a04cc28555c96eca3feb94
Lodge,UA,"Львів, Замарстинівська 150, кв 68",49.86625,24.025474,,,#4e342e,p-f262fb44efd64c118cac000d498e1c9b
Lodge,UA,"Львів, Кльоновича 16",49.83719,24.036898,,,#4e342e,p-a42a89b926c543a5835b36136232903a
Lodge,UA,"Львів, Спокійна 1",49.830586,23.98259,,,#4e342e,p-55c1d1ea67ef45f3b5ee3d333c1fde26
Lodge,UA,Манява. Василь Скрипник (approx),48.651172,24.356688,,,#1a237e,p-f1423afab3f04343809dc5591116d756
Lodge,UA,Чаплинка (approx),46.359373,33.529865,,,#1a237e,p-b93bbe2b7a8240eca87547071b72bd9a
Lodge,US,"Bellingham, WA. Birnam Woods. 2901 Bill McDonald Pkwy",48.731487,-122.478753,,,#4e342e,p-e5e2e8a11edb44d9ac6d68a8b4ddba38
Lodge,US,Кулик 2411 Park Summit Blvd,35.748219,-78.824949,,,#1a237e,p-9b20fc9f41c248378770cac5ff549e53
Places,AD,Andorra la Vella,42.505392,1.526904,2012,,#0288d1,p-c5569235b7844d86aa227bfcb1eacae4
Places,AD,Mirador Roc Del Quer,42.567275,1.590995,,,#0288d1,p-30d70ab0113d46ca8d45b0721eb878fb
Places,AT,Historic Centre of Vienna,48.208174,16.373819,,,#673ab7,p-295e7888284b4ab8bd262a088e9d3f82
Places,AT,Imperial Treasury Vienna,48.206739,16.365773,,,#0288d1,p-5a96fe5b2db140a6b4232cab04c7de38
Places,AT,Kunsthistorisches Museum Wien,48.203802,16.361787,,,#0288d1,p-82b2e76f98114786b2c5d52947054e03
Places,AT,"Vienna, St. Stephen's Cathedral",48.208411,16.373471,,,#0288d1,p-6dbb9bfcfb9f4382857484133e088b9e
Places,AZ,"Baku, Jumeirah Bilgah Beach Hotel",40.576135,50.0617,,,#0288d1,p-6a39c88d9382447ca724d9e4ec4a2130
Places,AZ,"Baku, Park Bulvar Mall",40.37074,49.849699,,,#0288d1,p-40ef0eec21e14571af817c304023705e
Places,AZ,Gobustan Rock Art Cultural Landscape,40.154048,49.315921,,,#673ab7,p-61bbcd1f17314b2bbd0315621bcc59a3
Places,BG,"Бургас, Mall Galleria",42.512734,27.45521,,,#0288d1,p-332f146096a642cbbce58c951d57bb6b
Places,BG,"Свети Влас, Marina View Fort Beach",42.703656,27.793314,2010,"Room 1, Studio - Non Refundable. € 350.00. Arrival Wednesday, 4 August 2010, check-in after 14:00. Departure Saturday, 14 August 2010, check-out before 11:00",#0288d1,p-d42637d43837444d9e00465e1671ed43
Places,BG,Старият Несебър,42.659458,27.736309,,,#673ab7,p-a0779b1c274040938e068fa9db375a2d
Places,BY,"Брэст, Брэсцкая крэпасць",52.08276,23.658054,,,#0288d1,p-4fc5a48d47a84eb3a42f31e9601cc91d
Places,CH,Altstadt Grossbasel,47.555955,7.589669,,,#0288d1,p-b8ecc193b1204111ba3d956202cba30d
Places,CH,FIFA Museum,47.363335,8.531703,,,#0288d1,p-7919ea08d8fd4b088b889b32958af088
Places,CH,Geneva,46.204391,6.143158,2012,,#0288d1,p-21c1588807204e1d8c398f254ff1dc59
Places,CH,Panoramic Viewpoint Monte Brè,46.009065,8.98726,,,#0288d1,p-9cc76c4601c3409a8b892fed16c5f58e
Places,CH,Rhine Falls,47.677951,8.61558,2012,,#0288d1,p-3d4750f48e1a498bb4ba9efe604dc007
Places,CH,Zürich,47.376887,8.541694,2012,,#0288d1,p-d9031c1ff3ee4163ba1b59395e196daa
Places,CY,Ayia Napa Island,34.985478,33.968254,2021-07-18,,#0288d1,p-8cdc9b5852a34a4eb1d944bc573ca257
Places,CY,"Ayia Napa, Ocean Basket",34.983228,34.00313,2021-07-21,,#0288d1,p-cdf9849725fb4efa860194efd054506f
Places,CY,Bath of Aphrodite beach,35.055915,32.348388,2019-06-16,,#0288d1,p-242e1db805e340108f358f9d4cca9233
Places,CY,Kalymnos Fish Tavern,34.718719,33.275393,2017-06-08,,#0288d1,p-143d729df3954acb8f9d95d0be27fe99
Places,CY,"Larnaca, Ocean Basket",34.915088,33.637849,2021-07-21,,#0288d1,p-254eef27af6b4be9934d74133b2b1ec1
Places,CY,"Limassol, Pixida Fish Tavern (New Limassol Marina)",34.669566,33.039301,2019-05-16,,#0288d1,p-259735d576474df6996e7ad0fd7a0cfd
Places,CY,Mount Olympos,34.936375,32.86396,2021-07-20,,#0288d1,p-3b1be44d02c64f52bb7fbe248045c3e3
Places,CY,"Pissouri, Cape Aspro Trail",34.647433,32.717445,2021-07-03,,#0288d1,p-90a7cb6a8113474d9ca99375c164d4a7
Places,CZ,Historic Centre of Prague,50.087698,14.421148,2012,,#673ab7,p-c380c42fad444b2d9073097071f11603
Places,CZ,"Praha, St. Vitus Cathedral",50.090892,14.400511,2012,,#0288d1,p-80f9c2ac5b2e468b855b9ff8cb65b1ef
Places,CZ,The Chamber,50.091672,14.431674,2023,2023. Ales Marsal birthday party,#0288d1,p-21cb08e24ca443e28d4a4d708edb3d56
Places,DE,Altstadt von Meersburg,47.694609,9.272481,2022-03-07,,#0288d1,p-9e5d754fb4d346858351ffa53254b925
Places,DE,"Berlin, Bundesministerium für Wirtschaft und Energie",52.528324,13.374813,,,#0288d1,p-bbe21fac12464a4a8b32f90567443966
Places,DE,"Berlin, Forum Transregional Studies",52.491358,13.278181,2018,"2018. 9.30-11.00 Discussion with Julda Kielyte, European Commission, Support Group for Ukraine, Team. leader Economic and Fiscal Reforms, Alexander Antonyuk, European Investment Bank, and Inna. Melnykovska, Assistant professor, Central European University, Budapest, Post-doctoral Fellow,. Harvard University, “Economic policy alternatives - How much market does Ukraine need?”. 11-12.30 Seminar “Political economy of reforms and growth diagnostics for Ukraine” with Vitaly. Protsenko, Vox Ukraine, and Ewa Dabrowska, Polis180",#0288d1,p-d753546cc7554ae99efd5b980ba43e59
Places,DE,"Berlin, Reichstag Building",52.51862,13.376187,2010,,#0288d1,p-46276af6048849d6afbb70a82ef7324d
Places,DE,Berliner Fernsehturm,52.520815,13.409419,2010,,#0288d1,p-5470afa559c240058387ee64210f171c
Places,DE,"Boblingen, Breuningerland Sindelfingen",48.704025,9.030377,2012,,#0288d1,p-140a716b69024655923f51cf0b1063d8
Places,DE,Buchenwald Memorial,51.021508,11.249239,2010,2010 - Ievgen Zveriev,#0288d1,p-9c038d3303234ee99619606f706edc0d
Places,DE,Duisburg,51.434408,6.762329,2010,,#0288d1,p-e6d978d8bd604a71b4ee17b6f86e2f45
Places,DE,"Düsseldorf, Carlsplatz Markt",51.223431,6.773664,,,#0288d1,p-2751f9956ae24356a66c88b8234c141a
Places,DE,Erfurt,50.984768,11.02988,2010,2010 - Ievgen Zveriev,#0288d1,p-9d1665b4a0aa429e8e50dcc6a7a6ada8
Places,DE,Jena,50.927054,11.589237,2010,2010 - Ievgen Zveriev,#0288d1,p-5e5973ec470c4ec3bfa865d806ecc5df
Places,DE,"Konstanz, SEA LIFE",47.657012,9.180164,2022,,#0288d1,p-3ebd8f863d3d47fa86a7f41f29c00e90
Places,DE,"Konstanz, Stadtgarten",47.662278,9.178911,2012,,#0288d1,p-7d4b9209c1b5434a9621b7d132cb84fe
Places,DE,"Munich, Siegestor",48.152369,11.582147,,,#0288d1,p-dc6263db1c5742a79bd93fff5a117415
Places,DE,Neuschwanstein Castle,47.557574,10.7498,2022,,#0288d1,p-eaa31560f53944daa724f66f7e1027d0
Places,DE,Spielplatz Strandbad - Uhldingen-Mühlhofen am Bodensee,47.724694,9.228558,,,#0288d1,p-916ea81e2e5a4d66a39f0162e8185c6e
Places,DE,"Überlingen, Uferpromenade",47.765954,9.158994,,,#0288d1,p-758e705be1e84ad2a92548b30057dd4f
Places,DE,Lindau Insel,47.546149,9.681822,,,#0288d1,p-7ca96b6cfbfe428f83ff586129e84294
Places,DK,Amalienborg,55.68401,12.592945,2023-11-14,,#0288d1,p-1e27bff474f643beb416fea3965fbc98
Places,DK,LEGO House,55.730687,9.114944,2024-08-02,,#0288d1,p-06e90c6370ba461d91ab0bf27688635a
Places,DK,LEGOLAND® Billund Resort,55.735207,9.128321,2024-08-01,,#0288d1,p-a4397eab90b345659c164ab86e26db16
Places,DK,Mini Chef,55.730421,9.115073,2024-08-02,,#0288d1,p-610c9e8add724e13ba31c45439c4cf39
Places,DK,Rosenborg Castle,55.685827,12.577269,,,#0288d1,p-5ec73746f2e2424181eca7026a3f06eb
Places,DK,Viking Ship Museum,55.650699,12.081023,,,#673ab7,p-ce95e0bfe62644cfa50bc97b212fdf51
Places,EE,Historic Centre of Tallinn,59.436374,24.744584,,Historic Centre (Old Town) of Tallinn,#673ab7,p-d536e1fce8c54d4c8cfa516dec19ce06
Places,EE,Margherita Pizzeria & Trattoria,59.437904,24.743146,,,#0288d1,p-b0420a11e7564f6885926554690d9294
Places,EG,Al Mina Mosque,27.229487,33.843066,,,#0288d1,p-c1f4773518174bd6aade23104053f8c5
Places,EG,Bedouin Camel Ride,27.038649,33.654114,,,#0288d1,p-d1f22d6a178a49579d04f364ed584dd8
Places,EG,Hurghada Mall,27.160551,33.821456,,aka Hurghada Museum,#0288d1,p-e4c0ed02a695451eb3053f33bb8ab876
Places,EG,Saint Shenouda Coptic Orthodox Church,27.254289,33.815963,,,#0288d1,p-e5034fe0f9c34692b8c1f16e8bec3d96
Places,ES,Abbey of Montserrat,41.593326,1.837676,,,#0288d1,p-381ca5d57bdf499d87f0e7057ed58ab6
